scenario,mois,date_calendrier,annee,mrr_total,arr,cogs_variables,marge_brute_eur,marge_brute_pct,couts_infra_outils,couts_rh_equipe,couts_fixes_hors_fondateur,salaire_fondateur_net,cout_fondateur_employeur,dividendes_fondateur_net,cout_total_mensuel,resultat_net,marge_nette_pct_mrr,taux_couverture_fixes,equipes,independants,point_mort
Leader Dual-Track (FR + EN/WT),74,jan. 2034,Y7,257931.0,3095168.0,33279.0,224651.0,87.1,36871.0,35850.0,72721.0,5000,9333.0,0.0,82204.0,142447.0,55.2,308.9,1051.0,7650.0,OUI
Leader Dual-Track (FR + EN/WT),75,fév. 2034,Y7,260906.0,3130878.0,33718.0,227189.0,87.1,36960.0,35850.0,72810.0,5000,9333.0,46489.0,82293.0,144895.0,55.5,312.0,1065.3,7715.0,OUI
Leader Dual-Track (FR + EN/WT),76,mars 2034,Y7,263901.0,3166810.0,34159.0,229741.0,87.1,37049.0,35850.0,72899.0,5000,9333.0,0.0,82382.0,147359.0,55.8,315.1,1079.6,7779.0,OUI
Leader Dual-Track (FR + EN/WT),77,avr. 2034,Y7,266914.0,3202964.0,34604.0,232310.0,87.0,37138.0,35850.0,72988.0,5000,9333.0,0.0,82471.0,149839.0,56.1,318.3,1093.9,7844.0,OUI
Leader Dual-Track (FR + EN/WT),78,mai 2034,Y7,269945.0,3239341.0,35051.0,234894.0,87.0,37227.0,35850.0,73077.0,5000,9333.0,48980.0,82560.0,152334.0,56.4,321.4,1108.3,7908.0,OUI
Leader Dual-Track (FR + EN/WT),79,juin 2034,Y7,272995.0,3275938.0,35501.0,237494.0,87.0,37316.0,35850.0,73166.0,5000,9333.0,0.0,82649.0,154845.0,56.7,324.6,1122.7,7973.0,OUI
Leader Dual-Track (FR + EN/WT),80,juil. 2034,Y7,276063.0,3312757.0,35954.0,240109.0,87.0,37404.0,35850.0,73254.0,5000,9333.0,0.0,82738.0,157371.0,57.0,327.8,1137.2,8038.0,OUI
Leader Dual-Track (FR + EN/WT),81,août 2034,Y7,279150.0,3349797.0,36410.0,242739.0,87.0,37493.0,35850.0,73343.0,5000,9333.0,51517.0,82827.0,159913.0,57.3,331.0,1151.7,8104.0,OUI
Leader Dual-Track (FR + EN/WT),82,sept. 2034,Y7,282255.0,3387058.0,36869.0,245385.0,86.9,37582.0,35850.0,73432.0,5000,9333.0,0.0,82916.0,162470.0,57.6,334.2,1166.2,8169.0,OUI
Leader Dual-Track (FR + EN/WT),83,oct. 2034,Y7,285378.0,3424539.0,37331.0,248047.0,86.9,37671.0,35850.0,73521.0,5000,9333.0,0.0,83004.0,165043.0,57.8,337.4,1180.8,8235.0,OUI
Leader Dual-Track (FR + EN/WT),84,nov. 2034,Y7,288520.0,3462240.0,37796.0,250724.0,86.9,37760.0,35850.0,73610.0,5000,9333.0,54101.0,83093.0,167631.0,58.1,340.6,1195.4,8301.0,OUI
Leader Dual-Track (FR + EN/WT),85,déc. 2034,Y8,291998.0,3503975.0,38292.0,253706.0,86.9,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,170613.0,58.4,344.7,1209.9,8366.0,OUI
Leader Dual-Track (FR + EN/WT),86,jan. 2035,Y8,295478.0,3545738.0,38788.0,256690.0,86.9,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,173597.0,58.8,348.7,1224.4,8430.0,OUI
Leader Dual-Track (FR + EN/WT),87,fév. 2035,Y8,298961.0,3587528.0,39284.0,259676.0,86.9,37760.0,35850.0,73610.0,5000,9333.0,56982.0,83093.0,176583.0,59.1,352.8,1238.8,8493.0,OUI
Leader Dual-Track (FR + EN/WT),88,mars 2035,Y8,302445.0,3629345.0,39780.0,262665.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,179572.0,59.4,356.8,1253.1,8556.0,OUI
Leader Dual-Track (FR + EN/WT),89,avr. 2035,Y8,305932.0,3671188.0,40276.0,265656.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,182563.0,59.7,360.9,1267.3,8617.0,OUI
Leader Dual-Track (FR + EN/WT),90,mai 2035,Y8,309421.0,3713057.0,40773.0,268649.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,60002.0,83093.0,185556.0,60.0,365.0,1281.4,8678.0,OUI
Leader Dual-Track (FR + EN/WT),91,juin 2035,Y8,312913.0,3754953.0,41269.0,271644.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,188551.0,60.3,369.0,1295.5,8739.0,OUI
Leader Dual-Track (FR + EN/WT),92,juil. 2035,Y8,316406.0,3796875.0,41765.0,274642.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,191548.0,60.5,373.1,1309.5,8798.0,OUI
Leader Dual-Track (FR + EN/WT),93,août 2035,Y8,319902.0,3838822.0,42261.0,277641.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,63029.0,83093.0,194548.0,60.8,377.2,1323.4,8857.0,OUI
Leader Dual-Track (FR + EN/WT),94,sept. 2035,Y8,323400.0,3880795.0,42757.0,280643.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,197549.0,61.1,381.3,1337.3,8915.0,OUI
Leader Dual-Track (FR + EN/WT),95,oct. 2035,Y8,326899.0,3922792.0,43253.0,283646.0,86.8,37760.0,35850.0,73610.0,5000,9333.0,0.0,83093.0,200553.0,61.4,385.3,1351.0,8972.0,OUI
Leader Dual-Track (FR + EN/WT),96,nov. 2035,Y8,330401.0,3964815.0,43749.0,286652.0,86.8,37760.0,45850.0,83610.0,5000,9333.0,64940.0,93093.0,193559.0,58.6,342.8,1364.7,9029.0,OUI
Leader Dual-Track (FR + EN/WT),97,déc. 2035,Y9,333905.0,4006862.0,44245.0,289660.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,196567.0,58.9,346.4,1378.4,9085.0,OUI
Leader Dual-Track (FR + EN/WT),98,jan. 2036,Y9,337411.0,4048933.0,44741.0,292670.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,199576.0,59.1,350.0,1391.9,9140.0,OUI
Leader Dual-Track (FR + EN/WT),99,fév. 2036,Y9,340919.0,4091029.0,45237.0,295682.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,65734.0,93093.0,202588.0,59.4,353.6,1405.4,9194.0,OUI
Leader Dual-Track (FR + EN/WT),100,mars 2036,Y9,344429.0,4133148.0,45734.0,298695.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,205602.0,59.7,357.2,1418.8,9248.0,OUI
Leader Dual-Track (FR + EN/WT),101,avr. 2036,Y9,347941.0,4175291.0,46230.0,301711.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,208618.0,60.0,360.9,1432.1,9301.0,OUI
Leader Dual-Track (FR + EN/WT),102,mai 2036,Y9,351455.0,4217457.0,46726.0,304729.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,68780.0,93093.0,211636.0,60.2,364.5,1445.4,9354.0,OUI
Leader Dual-Track (FR + EN/WT),103,juin 2036,Y9,354970.0,4259646.0,47222.0,307748.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,214655.0,60.5,368.1,1458.5,9406.0,OUI
Leader Dual-Track (FR + EN/WT),104,juil. 2036,Y9,358488.0,4301858.0,47718.0,310770.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,217677.0,60.7,371.7,1471.6,9457.0,OUI
Leader Dual-Track (FR + EN/WT),105,août 2036,Y9,362008.0,4344092.0,48214.0,313793.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,71831.0,93093.0,220700.0,61.0,375.3,1484.7,9507.0,OUI
